source_id,source_name,url,domain,content_type,category,parent_source_id,is_leaf,catalog_year,priority_for_ingest,PM_Review_Status,Allowed_for_AI_Retrieval,last_ingested_timestamp,content_hash,discovered_from,notes
SRC-001,McNeese Main Website Root,https://www.mcneese.edu/,www.mcneese.edu,html,University Overview / Navigation,,false,,high,Pending,Yes,,,seed,"Use for source discovery, not as the main answer source when a more specific page exists."
SRC-002,Admissions Overview,https://www.mcneese.edu/admissions/,www.mcneese.edu,html,Admissions / Future Students,,false,,high,Approved,Yes,2026-07-05T21:36:58,,seed,High priority for prospective-student assistant queries.
SRC-003,International Student Services,https://www.mcneese.edu/international/,www.mcneese.edu,html,International Admissions / Student Services,,false,,high,Pending,Yes,2026-07-05T21:37:01,,seed,Review carefully for immigration/legal sensitivity; cite source directly.
SRC-004,Estimated Costs,https://www.mcneese.edu/admissions/estimated-costs/,www.mcneese.edu,html,Tuition / Cost / Financial Planning,,false,,high,Approved,Yes,2026-07-05T21:37:04,,seed,Cost data changes often; set recrawl priority high before each term.
SRC-005,Financial Aid,https://www.mcneese.edu/financial-aid/,www.mcneese.edu,html,Financial Aid,,false,,high,Approved,Yes,2026-07-05T21:37:07,,seed,Financial data can be high-stakes; require citations and last-checked date.
SRC-006,Scholarships,https://www.mcneese.edu/student-central/scholarships/,www.mcneese.edu,html,Scholarships,,false,,high,Approved,Yes,2026-07-05T21:37:09,,seed,Redirects from /scholarships/ to Student Central scholarship page.
SRC-007,Undergraduate Programs,https://www.mcneese.edu/academics/undergraduate-programs/,www.mcneese.edu,html,Academic Programs,,false,,high,Approved,Yes,,,seed,Use catalog as source of truth for exact degree requirements.
SRC-008,Graduate Programs,https://www.mcneese.edu/academics/graduate-programs/,www.mcneese.edu,html,Graduate Programs,,false,,high,Pending,Yes,,,seed,Use catalog/graduate school pages for exact requirements.
SRC-009,Online Programs,https://www.mcneese.edu/academics/online-program/,www.mcneese.edu,html,Online Programs,,false,,high,Pending,Yes,,,seed,Confirm exact program counts before public release.
SRC-010,Colleges and Departments,https://www.mcneese.edu/academics/colleges-and-departments/,www.mcneese.edu,html,Colleges / Departments,,false,,high,Pending,Yes,,,seed,High value for source routing and department ownership mapping.
SRC-011,Academic Catalog,https://catalog.mcneese.edu/,catalog.mcneese.edu,html,Catalog / Degree Requirements / Policies,,false,,high,Approved,Yes,,,seed,Treat as source of truth for degree requirements; verify catalog year.
SRC-012,Academic Schedule,https://www.mcneese.edu/schedule/,www.mcneese.edu,html,Academic Calendar / Schedule,,false,,high,Approved,Yes,,,seed,High recrawl priority before and during registration periods.
SRC-013,Class Search,https://schedule.mcneese.edu/,schedule.mcneese.edu,html,Course Search / Class Listings,,false,,high,Approved,"Yes, with limits",,,seed,May be dynamic; avoid claiming seat availability unless verified live.
SRC-014,Student Central,https://www.mcneese.edu/student-central/,www.mcneese.edu,html,Student Services / One Stop,,false,,high,Approved,Yes,,,seed,Do not ingest Canvas/Banner login-only data in Sprint 1.
SRC-015,Office of the Registrar,https://www.mcneese.edu/registrar/,www.mcneese.edu,html,Registrar / Student Records / Academic Policy,,false,,high,Approved,Yes,,,seed,Important high-trust source for academic standing workflow.
SRC-016,Campus Life,https://www.mcneese.edu/campus-life/,www.mcneese.edu,html,Student Life / Support Services,,false,,high,Pending,Yes,,,seed,Some health/wellness answers should cite official pages and avoid medical advice.
SRC-017,Campus Maps,https://www.mcneese.edu/campusmaps/,www.mcneese.edu,html,Campus Map / Directions,,false,,high,Pending,Yes,,,seed,May need map/image handling later.
SRC-018,Research and Sponsored Programs,https://www.mcneese.edu/grants/,www.mcneese.edu,html,Research / Grants,,false,,high,Pending,Yes,,,seed,Redirect observed from /research/ to /grants/.
SRC-019,Faculty and Staff Hub,https://www.mcneese.edu/faculty-staff/,www.mcneese.edu,html,Faculty & Staff Resources,,false,,high,Pending,Yes,,,seed,"Exclude login-only portals such as MyMcNeese, Banner, Moodle unless public docs only."
SRC-020,University Policies,https://www.mcneese.edu/policy/,www.mcneese.edu,html,Policies / Governance,,false,,high,Pending,Yes,,,seed,Use direct policy page citations; set version/date checks if available.
SRC-021,Emergency Preparedness / University Status,https://www.mcneese.edu/emergency/,www.mcneese.edu,html,Emergency / Safety,,false,,high,Pending,Yes,,,seed,Do not cache during emergency; always check live source.
SRC-022,Consumer Information Disclosures,https://www.mcneese.edu/ire/consumer-disclosures/,www.mcneese.edu,html,Consumer Information / Compliance,,false,,high,Pending,Yes,,,seed,May include linked PDFs/reports; verify before ingestion.
SRC-023,Title IX and Power-Based Violence Reporting,https://www.mcneese.edu/titleix/data/,www.mcneese.edu,html,Title IX / Reporting / Compliance,,false,,high,Pending,"Yes, with care",,,seed,Sensitive topic: do not summarize beyond source; provide direct referral/citation.
SRC-024,Office of Campus Compliance and Civility,https://www.mcneese.edu/compliance/,www.mcneese.edu,html,Compliance / Civility / Reporting,,false,,high,Pending,"Yes, with care",,,seed,Sensitive; require official citations.
SRC-025,Library,https://www.mcneese.edu/library/,www.mcneese.edu,html,Library / Research Resources,,false,,high,Pending,Yes,,,seed,Do not ingest paywalled/auth-only library database content.
SRC-026,Today at McNeese / News and Events,https://www.mcneese.edu/today/,www.mcneese.edu,html,News / Events / Announcements,,false,,high,Pending,Yes,,,seed,Time-sensitive; keep publish/event dates in retrieval metadata.
SRC-027,Bookstore,https://www.mcneese.edu/bookstore/,www.mcneese.edu,html,Bookstore / Textbooks / Merch,,false,,high,Pending,"Yes, limited",,,seed,"External vendor/store links should be treated as referral sources, not knowledge base truth for inventory/prices."
SRC-028,Athletics,https://mcneesesports.com/,mcneesesports.com,html,Athletics / Sports / Tickets / Teams,,false,,high,Approved,Yes,,,seed,Separate domain; verify crawl rules and source ownership before automated ingestion.
